Date,FB,JPM,BP
1/4/2021,-0.015448828,-0.009443545,0.015107273
1/5/2021,0.007548148,0.005441312,0.07441179
1/6/2021,-0.028268823,0.046955755,0.046023399
1/7/2021,0.02062205,0.032839162,0.021358283
1/8/2021,-0.004353587,0.001104214,0.020493527
1/11/2021,-0.040101696,0.014924071,-0.000819576
1/12/2021,-0.022387479,0.015718956,0.025840838
1/13/2021,0.002190462,0.000927125,-0.009196364
1/14/2021,-0.023843586,0.00584254,0.027844995
1/15/2021,0.023286118,-0.017921605,-0.047506765
1/19/2021,0.038749224,-0.004327938,0.016075856
1/20/2021,0.024435101,-0.014995531,0.00649084
1/21/2021,0.020150979,-0.008384164,-0.031841996
1/22/2021,0.005973559,-0.007713585,-0.006244702
1/25/2021,0.012786922,-0.01248211,-0.033515061
1/26/2021,0.014531772,-0.004087086,-0.001733742
1/27/2021,-0.03513552,-0.028271867,-0.013026567
1/28/2021,-0.02623655,0.017597379,0.005719412
1/29/2021,-0.02516986,-0.011067618,-0.027996548
2/1/2021,0.014245435,0.007383236,-0.000450064
2/2/2021,0.019350318,0.03078222,-0.06573626
2/3/2021,-0.001609978,0.011451332,0.025060365
2/4/2021,-0.000600053,0.023013212,-0.013164029
2/5/2021,0.006041563,-0.001952873,-0.008575565
2/8/2021,-0.005669597,0.015654467,0.058625598
2/9/2021,0.010766093,-0.00399611,-0.013617831
2/10/2021,0.008981195,0.0005732,-0.006902894
2/11/2021,-0.005443705,-0.002792512,-0.009731097
2/12/2021,0.000406764,0.014216934,0.025269075
2/16/2021,0.0128281,0.024070708,0.057964336
2/17/2021,-0.001459992,0.003111034,0.017256194
2/18/2021,-0.015279424,0.003376917,-0.034601321
2/19/2021,-0.029065728,0.016690845,0.018254722
2/22/2021,-0.004702596,0.009390604,0.033231256
2/23/2021,0.021242263,0.00803162,0.025391507
2/24/2021,-0.005830088,0.017594971,0.044160103
2/25/2021,-0.036396641,-0.013571691,0.011462523
2/26/2021,0.011504154,-0.026524645,-0.046111871
3/1/2021,0.028297528,0.02262686,0.006964381
3/2/2021,-0.022309478,-0.003255854,0.007729871
3/3/2021,-0.013860988,0.019332133,0.032700855
3/4/2021,0.008731103,-0.015368607,0.017591927
3/5/2021,0.025772332,0.002324601,0.028428621
3/8/2021,-0.033941278,0.013253078,-0.008591693
3/9/2021,0.040852266,-0.007062993,-0.01620183
3/10/2021,-0.003160969,0.021734931,0.020681693
3/11/2021,0.033899627,-0.005221434,0
3/12/2021,-0.020008803,0.011858335,0.01163217
3/15/2021,0.019932959,-0.004995128,-0.017433124
3/16/2021,0.02020091,-0.011971565,-0.015477577
3/17/2021,0.016936447,0.010292639,0.014953999
3/18/2021,-0.018978257,0.016506577,-0.040045392
3/19/2021,0.041238928,-0.015921413,0.001180619
3/22/2021,0.011823185,-0.026878903,-0.003537641
3/23/2021,-0.009913483,-0.010001983,-0.050887618
3/24/2021,-0.029212366,0.007761221,0.028678387
3/25/2021,-0.012050843,0.012813802,-0.007272911
3/26/2021,0.015354808,0.01665022,0.026862044
3/29/2021,0.027559954,-0.015539503,-0.001981571
3/30/2021,-0.009696743,0.011789452,-0.011914325
3/31/2021,0.022673608,-0.014564952,-0.021302177
4/1/2021,0.014022358,0.009722149,0.009445483
4/5/2021,0.034319962,0.005300672,-0.0130186
4/6/2021,-0.008578531,-0.007030333,0.034624795
4/7/2021,0.022301266,0.015667978,0.010757016
4/8/2021,-0.0002236,0.001226459,-0.025620831
4/9/2021,-0.001789017,0.007478105,-0.013349606
4/12/2021,-0.002944319,-0.00211161,0.009430208
4/13/2021,-0.005713549,-0.011927025,0
4/14/2021,-0.022404451,-0.018690203,0.037368015
4/15/2021,0.016511459,0.00634859,-0.01331241
4/16/2021,-0.005327834,0.00742609,-0.000793639
4/19/2021,-0.012868258,-0.004240178,0.005162665
4/20/2021,0.001356551,-0.022142167,-0.020940186
4/21/2021,-0.00389887,0.008508065,0.007263853
4/22/2021,-0.016419584,-0.021057406,-0.024839656
4/23/2021,0.015547067,0.019135441,0.007395206
4/26/2021,0.006342789,0.002463528,0.016313133
4/27/2021,0.001748937,0.00458287,0.000802556
4/28/2021,0.011628286,0.006479382,0.028067309
4/29/2021,0.072972985,0.019444319,-0.005460217
4/30/2021,-0.013444274,-0.008892298,-0.013333212
5/3/2021,-0.007690415,-0.002925695,0.021065108
5/4/2021,-0.013082033,0.013823513,0.008952926
5/5/2021,-0.010491256,0.013120769,0.033179028
5/6/2021,0.015872009,0.02012441,0.001322434
5/7/2021,-0.002937323,0.003422807,0.008679208
5/10/2021,-0.041086833,-0.000124073,-0.004115126
5/11/2021,0.001830238,-0.016623354,-0.024417816
5/12/2021,-0.012984083,-0.00687515,0.008471346
5/13/2021,0.00895727,0.025722413,-0.011454657
5/14/2021,0.034986541,0.015541842,0.029354906
5/17/2021,-0.001519311,0.00402418,0.016135061
5/18/2021,-0.017434858,-0.014088735,-0.008124108
5/19/2021,0.011711205,-0.00763796,-0.025316451
5/20/2021,0.016008129,-0.001737884,0.01298711
5/21/2021,-0.007469866,0.011378355,0
5/24/2021,0.026562925,0.00541014,0.018853652
5/25/2021,0.009734171,-0.010333725,-0.027387088
5/26/2021,-0.000396611,-0.0001237,0.00114146
5/27/2021,0.015534383,0.015571954,-0.001140159
5/28/2021,-0.012081109,-0.000669372,-0.001902749
6/1/2021,0.001216786,0.011020499,0.030118317
6/2/2021,6.07328E-05,6.01477E-05,0.022575805
6/3/2021,-0.009448534,0.000662479,0.004705062
6/4/2021,0.013219227,0.001624866,-0.011527377
6/7/2021,0.018858728,-0.004686304,-0.006559727
6/8/2021,-0.008616062,-0.003984099,0.017241427
6/9/2021,-0.010279289,-0.012484885,-0.005048723
6/10/2021,0.006691873,-0.015588651,-0.002899667
6/11/2021,-0.0036094,-0.000685761,0.001090575
6/14/2021,0.016633396,-0.016969122,0.018155369
6/15/2021,-5.93551E-05,-0.015168012,0.012125514
6/16/2021,-0.016837455,0.007024216,-0.015856195
6/17/2021,0.01640094,-0.028860494,-0.026852823
6/18/2021,-0.020356024,-0.025303051,-0.039735121
6/21/2021,0.007977932,0.016968684,0.032183842
6/22/2021,0.020283457,-0.001462422,0.007795123
6/23/2021,0.004601354,0.00605822,0.00294666
6/24/2021,0.007604442,0.009197864,0.003305063
6/25/2021,-0.005274194,0.010097724,0
6/28/2021,0.041802209,0.001817629,-0.031478689
6/29/2021,-0.01054437,-0.001231122,-0.007180617
6/30/2021,-0.01187878,0.009082648,0.005709828
7/1/2021,0.019211481,0.009901014,0.024981132
7/2/2021,0.000874734,-0.000960404,-0.003692731
7/6/2021,-0.005413062,-0.016791654,-0.037435216
7/7/2021,-0.006491323,0.001173229,-0.009241363
7/8/2021,-0.013809227,-0.017253671,-0.005829822
7/9/2021,0.013800142,0.03199946,0.016809984
7/12/2021,0.007819162,0.014315946,-0.004998032
7/13/2021,-0.003029811,-0.014873421,-0.011591985
7/14/2021,-0.01266719,-0.003405047,-0.013682551
7/15/2021,-0.009118931,0.002191873,-0.022988493
7/16/2021,-0.009580175,-0.022835427,-0.031642962
7/19/2021,-0.012340227,-0.032519333,-0.032677045
7/20/2021,0.013978311,0.018643312,0.000866151
7/21/2021,0.013375891,0.021040655,0.034617072
7/22/2021,0.014325711,-0.01262596,-0.011710673
7/23/2021,0.052962803,-0.001921411,-0.003808585
7/26/2021,0.007220265,0.006704738,0.033559865
7/27/2021,-0.012484544,-0.001318816,-0.003288026
7/28/2021,0.014871812,0.001650624,0.00618545
7/29/2021,-0.040077133,0.008569655,0.009426231
7/30/2021,-0.005637472,-0.007973904,-0.018270354
8/2/2021,-0.012208746,-0.004019006,-0.004135614
8/3/2021,-0.002017394,0.011378011,0.066860341
8/4/2021,0.021865457,-0.010792051,-0.024523153
8/5/2021,0.011283818,0.012628873,0.011173273
8/6/2021,0.001487751,0.028403471,0.008681877
8/9/2021,-0.005226885,-0.001079225,-0.010954622
8/10/2021,-0.001327342,0.012267036,0.023734182
8/11/2021,-0.003239869,0.011930266,0.007341623
8/12/2021,0.007473061,0.003909083,-0.002797028
8/13/2021,0.001461461,-0.011187241,-0.017530212
8/16/2021,0.009306694,-0.00656341,-0.019429026
8/17/2021,-0.02212458,-0.012080773,0.00161753
8/18/2021,-0.008369368,-0.009107694,-0.016956001
8/19/2021,-0.000928448,-0.008355741,-0.032443518
8/20/2021,0.011967786,0.002851921,0.003395541
8/23/2021,0.011074967,0.012797264,0.031725811
8/24/2021,0.005944692,0.006190206,0.010660199
8/25/2021,0.007879415,0.020612696,-0.000811328
8/26/2021,-0.01088523,0.005157857,-0.013398338
